pokemon1,pokemon2,lvldif,a1,a2,a3,a4,b1,b2,b3,b4,win
ponyta,pidgeotto,29,dragon rage,sky attack,thunder wave,ice beam,crabhammer,thrash,haze,substitute,true
tauros,kingler,-81,comet punch,leech seed,toxic,clamp,bonemerang,horn drill,aurora beam,acid,false
squirtle,ekans,-4,sonic boom,bubble,agility,harden,haze,leer,rage,stomp,false
drowzee,clefairy,16,take down,fly,whirlwind,dig,scratch,double-edge,harden,super fang,true
nidorina,articuno,12,solar beam,twineedle,scratch,slam,amnesia,rock slide,screech,petal dance,true
goldeen,flareon,50,horn drill,thunder wave,double team,mega punch,explosion,conversion,fire blast,toxic,false
magikarp,dewgong,22,tackle,struggle,mirror move,waterfall,substitute,slam,focus energy,withdraw,true
seaking,blastoise,-47,cut,aurora beam,confusion,swift,fire spin,roar,petal dance,low kick,false
kadabra,dragonite,34,constrict,rage,water gun,mega drain,acid armor,hyper beam,bubble,mist,true
rattata,nidoqueen,4,fury attack,cut,skull bash,dragon rage,bite,slam,flash,razor leaf,false
abra,rapidash,-10,pin missile,sludge,barrier,water gun,swift,roar,kinesis,fury swipes,false
horsea,pidgey,-33,water gun,confusion,struggle,psychic,ember,poison gas,water gun,ember,false
electrode,tauros,13,dream eater,fire punch,hyper beam,fury attack,absorb,fly,soft-boiled,poison sting,true
sandshrew,spearow,-62,karate chop,psybeam,tri attack,fury swipes,water gun,bide,lovely kiss,solar beam,false
poliwag,tentacool,30,swords dance,psychic,fury attack,rolling kick,fury attack,twineedle,headbutt,screech,true
nidoran♀,pidgeotto,27,ice punch,fly,crabhammer,scratch,ember,horn drill,swords dance,stomp,true
spearow,nidoking,-42,barrage,dragon rage,sonic boom,vine whip,earthquake,vice grip,blizzard,slam,false
tentacruel,psyduck,30,dragon rage,fury swipes,thunder shock,screech,rock throw,surf,comet punch,thunder wave,true
rapidash,graveler,39,stun spore,double-edge,karate chop,fissure,spike cannon,solar beam,conversion,drill peck,true
pidgeot,magnemite,-21,headbutt,seismic toss,leer,ice punch,screech,stomp,earthquake,rolling kick,false
eevee,pikachu,-9,guillotine,leech life,fury attack,constrict,self-destruct,poison gas,guillotine,petal dance,false
ekans,scyther,11,psychic,vice grip,metronome,fire blast,thrash,transform,spore,horn drill,true
tangela,golduck,17,glare,pin missile,splash,lick,submission,psychic,skull bash,psybeam,false
kadabra,oddish,20,teleport,light screen,slash,hyper fang,vice grip,sky attack,bubble,focus energy,true
oddish,rattata,-6,bubble,headbutt,headbutt,barrage,harden,soft-boiled,take down,thunder wave,false
pinsir,squirtle,-32,earthquake,guillotine,sleep powder,thunder wave,egg bomb,ice punch,swift,fly,false
kangaskhan,wigglytuff,6,stomp,amnesia,twineedle,poison powder,spike cannon,pay day,pound,psybeam,true
gengar,growlithe,33,tackle,explosion,fire punch,vice grip,glare,fire punch,thunderbolt,peck,true
sandslash,raichu,-19,quick attack,recover,sand attack,thrash,headbutt,ice punch,blizzard,tackle,false
marowak,sandslash,-46,kinesis,smog,lovely kiss,ember,poison powder,stun spore,hyper beam,defense curl,false
nidorino,meowth,75,sharpen,supersonic,lick,ice beam,sand attack,amnesia,conversion,thunder wave,true
slowpoke,tentacruel,-25,karate chop,ice beam,haze,thunder wave,haze,seismic toss,focus energy,kinesis,true
kingler,slowbro,-34,peck,kinesis,fire punch,sleep powder,bite,tail whip,bonemerang,rage,false
haunter,sandslash,46,hypnosis,hypnosis,mimic,ice beam,poison gas,soft-boiled,thrash,splash,false
slowbro,seel,27,high jump kick,slash,slam,rock slide,mega punch,peck,sharpen,scratch,true
bulbasaur,shellder,-53,spore,double-edge,pound,pay day,meditate,psybeam,fissure,sonic boom,false
electabuzz,tauros,-50,headbutt,leech seed,meditate,psybeam,focus energy,high jump kick,peck,hyper fang,false
venonat,raichu,48,explosion,metronome,lick,seismic toss,double team,peck,pin missile,recover,true
electrode,krabby,36,ember,constrict,swords dance,absorb,withdraw,clamp,sonic boom,kinesis,true
cloyster,cubone,-71,counter,water gun,pay day,dizzy punch,psywave,dizzy punch,stun spore,bone club,false
gastly,arcanine,-19,peck,slam,confusion,dizzy punch,karate chop,fire spin,headbutt,acid,false
pidgey,nidoking,-20,whirlwind,leech life,double kick,sand attack,dream eater,bone club,headbutt,metronome,false
gloom,venomoth,30,barrage,rolling kick,pay day,twineedle,take down,sleep powder,bonemerang,gust,true
fearow,seaking,57,string shot,transform,haze,hyper beam,agility,rock slide,spore,blizzard,true
nidorino,graveler,10,screech,petal dance,screech,struggle,thunderbolt,sludge,toxic,fire spin,true
bulbasaur,cubone,-39,bite,lovely kiss,thunderbolt,double-edge,transform,submission,soft-boiled,smog,false
charmander,magnemite,-68,spore,amnesia,mist,thunder wave,constrict,absorb,surf,mega kick,false
metapod,muk,4,solar beam,defense curl,take down,ice punch,twineedle,rest,jump kick,acid,false
vileplume,rhydon,-70,leech life,tail whip,acid armor,sand attack,barrier,constrict,fury swipes,thunderbolt,false
venomoth,exeggutor,27,surf,horn drill,guillotine,take down,dream eater,thunderbolt,dizzy punch,light screen,true
dragonair,machop,69,hyper fang,disable,screech,growl,twineedle,bubble beam,string shot,transform,true
pikachu,voltorb,-25,rage,pound,fly,strength,ice punch,sleep powder,thunder,barrage,false
voltorb,magikarp,17,dig,growl,quick attack,dig,teleport,dragon rage,take down,thunder wave,true
persian,omastar,-70,leech seed,smokescreen,minimize,swift,tackle,poison sting,self-destruct,mist,false
tauros,ivysaur,7,sky attack,surf,constrict,sand attack,comet punch,thunderbolt,razor wind,blizzard,true
dragonair,jigglypuff,-13,seismic toss,rock slide,strength,dragon rage,fire punch,razor leaf,focus energy,water gun,true
venonat,weepinbell,-85,soft-boiled,mist,whirlwind,thunder punch,barrage,explosion,sludge,earthquake,false
ekans,rhydon,50,seismic toss,horn drill,sleep powder,glare,bind,rock slide,hydro pump,psywave,false
nidorina,primeape,50,thunder,double-edge,absorb,swift,drill peck,twineedle,aurora beam,disable,true
machoke,zapdos,12,headbutt,double kick,fury attack,self-destruct,kinesis,bide,leech seed,drill peck,true
rapidash,hitmonchan,12,aurora beam,pound,mimic,hypnosis,tri attack,dream eater,ice punch,double-edge,true
krabby,kabuto,-1,aurora beam,hyper fang,absorb,thrash,peck,poison powder,sky attack,reflect,false
sandshrew,flareon,-25,waterfall,clamp,rolling kick,sand attack,fire spin,self-destruct,bonemerang,dragon rage,false
shellder,eevee,-17,barrier,growth,flash,whirlwind,vine whip,disable,body slam,poison powder,false
omanyte,jigglypuff,-68,psychic,mimic,bubble beam,sing,drill peck,drill peck,leech life,karate chop,false
raichu,ninetales,-49,poison sting,psychic,supersonic,transform,horn drill,razor wind,wing attack,ice punch,false
farfetch'd,ponyta,63,double team,smog,sing,sky attack,sleep powder,body slam,lovely kiss,hypnosis,true
machamp,exeggcute,12,peck,low kick,metronome,bone club,thunder wave,high jump kick,psywave,thunder punch,true
doduo,cloyster,-9,thunder punch,ice punch,slash,tri attack,focus energy,ember,waterfall,pound,false
magmar,voltorb,-36,crabhammer,psywave,thunder,bind,spore,fury swipes,thunder,lovely kiss,false
tentacool,arcanine,-3,razor leaf,egg bomb,thrash,mega kick,bide,pin missile,fire punch,recover,false
dragonite,graveler,2,struggle,fury swipes,metronome,fire punch,spike cannon,constrict,supersonic,rage,true
hitmonchan,exeggutor,-18,bubble beam,toxic,ice punch,reflect,supersonic,haze,double team,pin missile,true
pikachu,aerodactyl,-37,double-edge,tail whip,gust,agility,body slam,string shot,mist,ember,false
doduo,growlithe,-15,skull bash,slam,scratch,light screen,comet punch,rock throw,screech,reflect,false
dratini,beedrill,17,defense curl,defense curl,thunderbolt,defense curl,surf,toxic,fire blast,mist,true
muk,hitmonchan,-12,flash,dragon rage,tackle,conversion,bubble,haze,agility,glare,true
rapidash,spearow,26,soft-boiled,lick,seismic toss,fire punch,counter,thunder punch,withdraw,light screen,true
machamp,parasect,10,disable,barrage,scratch,growth,poison powder,substitute,blizzard,tackle,true
charmander,tauros,-12,slam,sharpen,tri attack,dizzy punch,counter,double-edge,swift,growth,false
lapras,golem,-4,agility,bind,thrash,disable,amnesia,lick,leech life,vine whip,true
ponyta,mr. mime,8,supersonic,swords dance,bubble,super fang,double slap,lovely kiss,sharpen,wing attack,true
onix,vulpix,-16,bone club,psybeam,sky attack,leech life,super fang,sand attack,gust,fire punch,false
ditto,pidgey,-39,mist,smokescreen,poison sting,night shade,counter,recover,spore,reflect,false
tentacruel,sandshrew,-10,guillotine,recover,sharpen,whirlwind,earthquake,barrage,substitute,karate chop,false
nidorina,butterfree,38,explosion,rage,fissure,cut,slash,dragon rage,pin missile,agility,true
venonat,seadra,6,rage,swords dance,teleport,growl,transform,roar,wing attack,solar beam,false
pidgeotto,fearow,-50,toxic,mimic,rock throw,double-edge,tail whip,ice punch,hydro pump,night shade,false
tentacruel,psyduck,34,hydro pump,pin missile,super fang,waterfall,spike cannon,razor leaf,constrict,psychic,true
charmeleon,dragonair,21,counter,self-destruct,pound,double-edge,razor wind,hyper fang,double slap,ice beam,true
victreebel,drowzee,-4,transform,rock slide,double-edge,bite,headbutt,lovely kiss,confusion,thrash,true
staryu,caterpie,-10,slam,bind,horn drill,mirror move,hyper beam,leech seed,lovely kiss,gust,false
poliwag,grimer,8,psywave,fire blast,mimic,sonic boom,solar beam,bone club,fire blast,headbutt,false
eevee,lickitung,14,jump kick,growl,smog,counter,pay day,scratch,egg bomb,bide,false
ponyta,voltorb,47,flash,swords dance,barrier,sharpen,hyper fang,slam,pin missile,rolling kick,true
porygon,snorlax,-60,bonemerang,slam,surf,sharpen,vice grip,pin missile,thunder shock,poison powder,false
goldeen,nidorino,-36,fury attack,amnesia,bide,growth,spike cannon,lick,barrier,poison gas,false
gloom,ivysaur,77,growth,ember,mirror move,quick attack,crabhammer,mega drain,self-destruct,tail whip,true
seel,zapdos,35,growth,flamethrower,bonemerang,poison powder,poison sting,sand attack,jump kick,slash,true
seaking,venusaur,-18,roar,dig,mist,double kick,acid armor,vine whip,sky attack,smokescreen,false
electrode,beedrill,27,sonic boom,defense curl,bide,metronome,stomp,soft-boiled,withdraw,solar beam,false
ninetales,blastoise,-35,lick,confusion,double slap,fire blast,ice punch,agility,aurora beam,skull bash,false
dratini,poliwag,51,wing attack,hypnosis,explosion,thunder wave,barrage,pound,headbutt,bonemerang,true
magikarp,gloom,17,aurora beam,poison sting,absorb,sonic boom,acid armor,haze,stun spore,focus energy,true
drowzee,gastly,60,psywave,thunderbolt,poison gas,surf,mega punch,quick attack,bind,egg bomb,true
graveler,pidgey,35,slash,bubble beam,bite,seismic toss,sing,quick attack,pay day,high jump kick,true
magneton,scyther,43,counter,tackle,bonemerang,comet punch,solar beam,fury swipes,poison sting,acid,true
omastar,omastar,14,meditate,reflect,bubble,fissure,crabhammer,hypnosis,hyper fang,rage,true
sandshrew,eevee,23,fury swipes,fire spin,growl,tail whip,acid armor,transform,minimize,mirror move,true
wartortle,mankey,11,strength,psybeam,psychic,slash,recover,light screen,body slam,harden,true
muk,machop,55,light screen,egg bomb,karate chop,body slam,struggle,body slam,fury attack,double kick,true
rhyhorn,nidoran♀,31,double kick,rolling kick,night shade,double slap,poison sting,thunder shock,psychic,leer,true
arbok,primeape,-16,soft-boiled,mirror move,double slap,thunder,dig,glare,karate chop,hydro pump,false
ninetales,magikarp,73,body slam,skull bash,bind,lovely kiss,recover,karate chop,tail whip,thunderbolt,true
vulpix,mewtwo,-17,bite,sonic boom,flash,crabhammer,guillotine,poison sting,super fang,low kick,false
ekans,squirtle,-67,smog,sludge,bubble,double-edge,quick attack,bite,peck,meditate,false
fearow,rapidash,61,scratch,smokescreen,waterfall,thunder punch,disable,acid,high jump kick,mist,true
dewgong,cloyster,-65,aurora beam,defense curl,double slap,growl,hypnosis,skull bash,light screen,take down,false
rhydon,raticate,-41,lick,skull bash,bind,hyper beam,swift,swift,lovely kiss,body slam,false
mankey,weezing,-55,psychic,waterfall,double team,string shot,peck,cut,razor wind,double kick,false
ninetales,abra,16,explosion,flamethrower,horn drill,lovely kiss,drill peck,spike cannon,substitute,struggle,true
paras,electrode,-59,psychic,swift,cut,thunder shock,twineedle,struggle,spike cannon,high jump kick,false
clefable,golbat,36,bone club,sky attack,toxic,sleep powder,water gun,screech,transform,barrage,true
venusaur,kabutops,-49,ice beam,tackle,swords dance,thunder punch,meditate,thunder punch,horn attack,ice punch,false
poliwrath,pidgey,56,leech seed,slam,headbutt,flash,swords dance,psybeam,petal dance,vice grip,true
paras,seel,-56,high jump kick,double slap,confuse ray,bone club,night shade,light screen,barrier,smog,false
paras,kabutops,-31,aurora beam,double-edge,kinesis,pin missile,recover,stun spore,smokescreen,double-edge,true
charmeleon,oddish,62,tri attack,poison gas,confuse ray,rest,ice punch,psybeam,supersonic,wing attack,true
nidorina,hypno,-18,metronome,dragon rage,petal dance,rest,flamethrower,amnesia,toxic,hypnosis,false
doduo,nidoking,-25,sleep powder,peck,mist,double slap,glare,thunder,recover,body slam,false
hitmonchan,gyarados,-25,hyper fang,mega drain,peck,constrict,mega punch,spike cannon,dream eater,fissure,false
dragonair,hypno,13,tail whip,fury swipes,flamethrower,acid,teleport,rage,stomp,defense curl,true
gengar,charmeleon,-90,sing,vice grip,growth,dizzy punch,harden,bone club,stomp,splash,false
gloom,cloyster,28,ice beam,reflect,hyper fang,surf,teleport,rock throw,splash,take down,true
ekans,raichu,-9,razor wind,bind,growth,barrage,bonemerang,gust,take down,fly,false
parasect,blastoise,-28,absorb,string shot,sky attack,tail whip,tri attack,mimic,high jump kick,dragon rage,false
machoke,bulbasaur,-29,explosion,jump kick,mirror move,waterfall,mimic,screech,barrier,poison sting,true
mr. mime,meowth,-44,string shot,hyper beam,vice grip,quick attack,growl,rolling kick,meditate,metronome,false
paras,arcanine,78,horn attack,body slam,solar beam,lovely kiss,hypnosis,pound,cut,sleep powder,true
nidorino,pikachu,-13,tackle,double-edge,hydro pump,rage,dragon rage,dream eater,spore,string shot,false
weepinbell,rhydon,-35,leech seed,submission,fire punch,karate chop,rage,recover,defense curl,twineedle,false
rhydon,primeape,3,pound,acid,earthquake,sing,growl,pound,night shade,lovely kiss,true
charmander,dodrio,-35,acid,counter,waterfall,bite,smokescreen,skull bash,headbutt,sonic boom,false
zapdos,rhyhorn,29,rock throw,self-destruct,sand attack,ice beam,jump kick,disable,flash,roar,true
machamp,cubone,5,mimic,growth,dream eater,barrier,meditate,fury swipes,minimize,body slam,true
ditto,nidoran♀,-14,sonic boom,blizzard,struggle,sludge,surf,seismic toss,mega punch,constrict,false
doduo,ditto,19,vice grip,toxic,ember,gust,body slam,horn attack,recover,strength,true
tentacool,hitmonchan,-32,bubble beam,scratch,petal dance,kinesis,meditate,sludge,thunder punch,razor wind,false
gloom,flareon,59,karate chop,roar,dragon rage,mega punch,double kick,acid,transform,scratch,true
dratini,exeggutor,-27,acid armor,hyper beam,hyper beam,confusion,withdraw,whirlwind,poison sting,bite,false
moltres,machoke,-54,take down,leer,water gun,egg bomb,night shade,rest,solar beam,poison powder,false
rhydon,tangela,56,haze,high jump kick,whirlwind,rest,guillotine,surf,hyper beam,acid armor,true
nidoking,haunter,-47,whirlwind,razor wind,wing attack,acid armor,leech life,mega punch,pin missile,gust,false
pidgey,grimer,10,lovely kiss,guillotine,quick attack,sludge,absorb,mist,double team,thunder,true
lickitung,primeape,41,super fang,spike cannon,comet punch,teleport,dragon rage,fire blast,hyper beam,supersonic,true
ivysaur,paras,-60,teleport,ember,sky attack,quick attack,double slap,meditate,ice punch,thunderbolt,false
rattata,kakuna,8,fissure,recover,dragon rage,clamp,acid armor,twineedle,mega punch,metronome,false
magnemite,articuno,-7,seismic toss,recover,bite,fly,psywave,rock throw,double slap,light screen,false
porygon,omastar,50,leech life,rock slide,poison gas,earthquake,leech life,harden,struggle,jump kick,true
clefairy,charmander,1,psybeam,supersonic,whirlwind,smog,quick attack,stun spore,explosion,slash,false
magmar,ninetales,-37,double slap,thunder wave,absorb,double team,flash,poison sting,strength,confusion,false
zubat,charmander,-17,fury attack,mega kick,fire blast,reflect,mirror move,leer,pay day,tail whip,false
venusaur,graveler,32,fury swipes,light screen,rolling kick,sing,sonic boom,rest,swords dance,explosion,true
